company,product,typename,inches,cpu,ram(GB),gpu,opsys,weight(kg),price,resolution,screentype,touchscreen,cpu_freq(GHz),memory_1_sto(GB),memory_1_type,memory_2_sto(GB),memory_2_type,cpu_brand,gpu_brand
Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,Intel Core i7 6700HQ ,8,Nvidia GeForce GTX 960,Windows 10,3.31,1196.0,1920x1080,IPSPanel,0.0,2.6,128,SSD,1000,HDD,Intel,Nvidia
Dell,Alienware 17,Gaming,17.3,Intel Core i7 7700HQ ,32,Nvidia GeForce GTX 1070,Windows 10,4.42,3147.37,3840x2160,IPSPanel,0.0,2.8,512,SSD,1000,HDD,Intel,Nvidia
Dell,Latitude E7470,Notebook,14.0,Intel Core i5 6300U ,8,Intel HD Graphics 520,Windows 10,1.56,1229.0,1920x1080,,0.0,2.4,256,SSD,0,NaN,Intel,Intel
Lenovo,Ideapad 320-15IAP,Notebook,15.6,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,2.2,419.0,1366x768,,0.0,1.1,500,HDD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i5 6200U ,4,Intel HD Graphics 520,Windows 10,2.2,535.0,1920x1080,,0.0,2.3,500,HDD,0,NaN,Intel,Intel
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,15.6,Intel Core i3 6006U ,6,AMD Radeon R5 M430,Windows 10,2.04,539.0,1920x1080,,0.0,2.0,1000,HDD,0,NaN,Intel,AMD
MSI,GP72VR Leopard,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1060,Windows 10,2.7,1486.77,1920x1080,,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
Toshiba,Satellite Pro,Notebook,15.6,Intel Core i3 6100U ,4,Intel HD Graphics 520,Windows 10,2.1,498.0,1366x768,,0.0,2.1,128,SSD,0,NaN,Intel,Intel
Dell,Latitude 3580,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.06,955.0,1920x1080,,0.0,2.5,1000,HDD,0,NaN,Intel,Intel
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,15.6,Intel Core i7 7500U ,8,AMD Radeon 530,Windows 10,2.1,745.0,1920x1080,,0.0,2.7,1000,HDD,0,NaN,Intel,AMD
Toshiba,Tecra Z50-D-10E,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.0,1258.0,1920x1080,IPSPanel,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Acer,Aspire 3,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Linux,2.1,412.0,1366x768,,0.0,2.0,128,SSD,0,NaN,Intel,Intel
Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i7 7600U ,8,Intel Iris Plus Graphics 640,Windows 10 S,1.252,1867.85,2256x1504,,1.0,2.8,256,SSD,0,NaN,Intel,Intel
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,15.6,Intel Core i5 7200U ,8,AMD Radeon R5 M430,Windows 10,1.9,817.95,1920x1080,,0.0,2.5,128,SSD,1000,HDD,Intel,AMD
Lenovo,Yoga 720-13IKB,2 in 1 Convertible,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.3,1034.0,1920x1080,IPSPanel,1.0,2.5,256,SSD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD E-Series E2-9000 ,4,AMD Radeon R2 Graphics,Windows 10,2.2,349.0,1366x768,,0.0,2.2,128,SSD,0,NaN,AMD,AMD
HP,Pavilion X360,2 in 1 Convertible,14.0,Intel Core i3 7100U ,4,Nvidia GeForce 940MX,Windows 10,1.63,699.0,1920x1080,IPSPanel,1.0,2.4,128,SSD,0,NaN,Intel,Nvidia
MSI,GP62 7RDX,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050,Windows 10,2.4,1294.0,1920x1080,,0.0,2.8,256,SSD,1000,HDD,Intel,Nvidia
Asus,Zenbook 3,Ultrabook,14.0,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.1,1135.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
HP,Chromebook X360,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 ,8,Intel HD Graphics 500,Chrome OS,1.4,495.0,1366x768,,1.0,1.1,64,FlashStorage,0,NaN,Intel,Intel
LG,Gram 15Z975,Ultrabook,15.6,Intel Core i7 8550U ,8,Intel HD Graphics 620,Windows 10,1.09,2299.0,1920x1080,IPSPanel,0.0,1.8,512,SSD,0,NaN,Intel,Intel
Acer,Aspire VX5-591G,Gaming,15.6,Intel Core i5 7300HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1299.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Nvidia
MSI,GV62M 7RD,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.2,997.9,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Nvidia
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,15.6,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.86,419.0,1366x768,,0.0,1.1,128,SSD,0,NaN,Intel,Intel
Dell,Alienware 15,Gaming,15.6,Intel Core i5 7300HQ ,16,Nvidia GeForce GTX 1060,Windows 10,3.21,2051.0,1920x1080,,0.0,2.5,128,SSD,1000,HDD,Intel,Nvidia
HP,17-bs000nv I3,Notebook,17.3,Intel Core i3 6006U ,4,AMD Radeon R5 520,Windows 10,2.5,699.0,1920x1080,IPSPanel,0.0,2.0,256,SSD,0,NaN,Intel,AMD
Lenovo,Yoga 730,2 in 1 Convertible,13.3,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.19,1499.0,1920x1080,IPSPanel,1.0,1.8,512,SSD,0,NaN,Intel,Intel
Dell,Alienware 15,Gaming,15.6,Intel Core i7 7820HK ,16,Nvidia GeForce GTX 1070,Windows 10,3.49,2813.75,1920x1080,,0.0,2.9,256,SSD,1000,HDD,Intel,Nvidia
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,4,AMD Radeon 520,Windows 10,1.86,612.61,1366x768,,0.0,2.5,500,HDD,0,NaN,Intel,AMD
Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon R5 M430,Windows 10,2.2,545.67,1366x768,,0.0,2.0,1000,HDD,0,NaN,Intel,AMD
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,17.3,AMD A10-Series 9600P ,6,AMD Radeon R7 M440,Windows 10,2.65,569.0,1920x1080,IPSPanel,0.0,2.4,2000,HDD,0,NaN,AMD,AMD
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,15.6,Intel Celeron Dual Core 3855U ,4,Intel HD Graphics 510,Windows 10,2.1,318.0,1366x768,,0.0,1.6,500,HDD,0,NaN,Intel,Intel
Acer,Chromebook 14,Notebook,14.0,Intel Celeron Dual Core 3855U ,4,Intel HD Graphics 510,Chrome OS,1.45,375.0,1366x768,,0.0,1.6,32,FlashStorage,0,NaN,Intel,Intel
Lenovo,IdeaPad 520s-14IKB,Notebook,14.0,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10,1.7,699.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
HP,ZBook 17,Workstation,17.3,Intel Core i7 7700HQ ,8,Nvidia Quadro M1200,Windows 10,3.14,1907.99,1920x1080,,0.0,2.8,500,HDD,0,NaN,Intel,Nvidia
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.42,2590.0,2560x1440,,1.0,2.7,256,SSD,0,NaN,Intel,Intel
Toshiba,Satellite Pro,Notebook,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.5,973.0,1920x1080,IPSPanel,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Acer,TravelMate B117-M,Netbook,11.6,Intel Celeron Dual Core N3050 ,4,Intel HD Graphics,Windows 10,1.4,269.0,1366x768,,0.0,1.6,32,FlashStorage,0,NaN,Intel,Intel
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,14.0,Intel Core i7 7500U ,16,Intel HD Graphics 620,Windows 10,1.38,1749.0,1920x1080,,1.0,2.7,512,SSD,0,NaN,Intel,Intel
Asus,Chromebook Flip,2 in 1 Convertible,12.5,Intel Core M M3-6Y30 ,4,Intel HD Graphics 515,Chrome OS,1.2,669.0,1920x1080,,1.0,0.9,64,FlashStorage,0,NaN,Intel,Intel
Toshiba,Portege Z30T-C-133,Ultrabook,13.3,Intel Core i7 6500U ,16,Intel HD Graphics 520,Windows 10,1.36,1877.0,1920x1080,,1.0,2.5,512,SSD,0,NaN,Intel,Intel
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,15.6,Intel Core i7 7500U ,4,AMD Radeon 530,Windows 10,2.1,689.0,1920x1080,IPSPanel,0.0,2.7,500,HDD,0,NaN,Intel,AMD
Dell,Inspiron 5577,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.56,819.0,1920x1080,,0.0,2.5,1000,HDD,0,NaN,Intel,Nvidia
Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon 530,Windows 10,2.2,399.0,1920x1080,,0.0,2.9,256,SSD,0,NaN,AMD,AMD
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,AMD A12-Series 9720P ,8,AMD Radeon R7,Windows 10,2.2,429.0,1366x768,,0.0,3.6,1000,HDD,0,NaN,AMD,AMD
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10,2.1,621.45,1920x1080,,0.0,2.5,1000,HDD,1000,HDD,Intel,Intel
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,No OS,1.9,450.0,1366x768,,0.0,2.0,500,HDD,0,NaN,Intel,Intel
Dell,Vostro 5568,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.18,795.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Acer,Spin 5,2 in 1 Convertible,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.6,999.0,1920x1080,IPSPanel,1.0,1.6,256,SSD,0,NaN,Intel,Intel
Lenovo,ThinkPad P51s,Workstation,15.6,Intel Core i7 6500U ,16,Nvidia Quadro M520M,Windows 7,2.18,1855.0,1920x1080,,0.0,2.5,512,SSD,0,NaN,Intel,Nvidia
Lenovo,Thinkpad T460p,Notebook,14.0,Intel Core i5 6300HQ ,8,Intel HD Graphics 520,Windows 10,1.8,1191.0,1920x1080,,0.0,2.3,256,SSD,0,NaN,Intel,Intel
HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,AMD A10-Series 9620P ,6,AMD Radeon 530,Windows 10,2.71,655.01,1920x1080,IPSPanel,0.0,2.5,2000,HDD,0,NaN,AMD,AMD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1249.0,1920x1080,IPSPanel,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
Dell,Latitude 5480,Notebook,14.0,Intel Core i5 7440HQ ,8,Nvidia GeForce 930MX,Linux,1.64,1089.0,1920x1080,,0.0,2.8,256,SSD,0,NaN,Intel,Nvidia
Dell,Vostro 5568,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Linux,1.98,726.0,1920x1080,,0.0,2.5,1000,HDD,0,NaN,Intel,Intel
Asus,VivoBook E403NA,Notebook,14.0,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.5,298.0,1920x1080,,0.0,1.1,32,FlashStorage,0,NaN,Intel,Intel
Dell,Latitude 5580,Notebook,15.6,Intel Core i5 7300U ,16,Intel HD Graphics 620,Windows 10,1.93,1426.66,1920x1080,,0.0,2.6,512,SSD,0,NaN,Intel,Intel
Lenovo,Thinkpad E470,Notebook,14.0,Intel Core i5 7200U ,8,Nvidia GeForce 920MX,Windows 10,1.87,857.07,1920x1080,IPSPanel,0.0,2.5,256,SSD,0,NaN,Intel,Nvidia
Dell,Latitude 5580,Notebook,15.6,Intel Core i5 7300U ,8,Intel HD Graphics 620,Windows 10,1.9,1179.0,1920x1080,,0.0,2.6,256,SSD,0,NaN,Intel,Intel
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,AMD A6-Series 7310 ,4,AMD Radeon R4,Windows 10,2.19,298.0,1366x768,,0.0,2.0,500,HDD,0,NaN,AMD,AMD
Mediacom,Smartbook 142,Notebook,14.0,Intel Atom Z8350 ,4,Intel HD Graphics 400,Windows 10,1.4,265.0,1920x1200,IPSPanel,0.0,1.92,32,HDD,0,NaN,Intel,Intel
HP,ProBook 470,Notebook,17.3,Intel Core i7 7500U ,8,Nvidia GeForce 930MX,Windows 10,2.63,1200.0,1920x1080,,0.0,2.7,256,SSD,0,NaN,Intel,Nvidia
Lenovo,ThinkPad X1,Ultrabook,14.0,Intel Core i7 6500U ,8,Intel HD Graphics 520,Windows 10,1.17,1686.64,2560x1440,IPSPanel,0.0,2.5,512,SSD,0,NaN,Intel,Intel
HP,Pavilion X360,2 in 1 Convertible,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.58,836.6,1366x768,IPSPanel,1.0,2.5,256,SSD,0,NaN,Intel,Intel
Lenovo,ThinkPad T470s,Ultrabook,14.0,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.32,1499.0,1920x1080,IPSPanel,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Dell,Alienware 17,Gaming,17.3,Intel Core i7 7700HQ ,32,Nvidia GeForce GTX 1070,Windows 10,4.36,3659.4,3840x2160,,0.0,2.8,1000,SSD,1000,HDD,Intel,Nvidia
MSI,GL72M 7REX,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1348.48,1920x1080,,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,No OS,1.9,489.9,1366x768,,0.0,2.5,1000,HDD,0,NaN,Intel,Intel
Dell,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U ,8,AMD Radeon 530,Windows 10,2.2,719.0,1920x1080,,0.0,1.6,128,SSD,1000,HDD,Intel,AMD
Dell,Inspiron 5378,2 in 1 Convertible,13.3,Intel Core i3 7100U ,4,Intel HD Graphics 620,Windows 10,1.71,649.0,1920x1080,,1.0,2.4,1000,HDD,0,NaN,Intel,Intel
Dell,Inspiron 5567,Notebook,15.6,Intel Core i5 7200U ,8,AMD Radeon R7 M445,Linux,2.32,589.52,1366x768,,0.0,2.5,1000,HDD,0,NaN,Intel,AMD
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon 520,Windows 10,2.1,489.0,1920x1080,,0.0,3.0,1000,HDD,0,NaN,AMD,AMD
Acer,Predator 17,Gaming,17.3,Intel Core i7 6700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,4.2,1935.0,1920x1080,IPSPanel,0.0,2.6,128,SSD,1000,HDD,Intel,Nvidia
Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U ,12,Intel HD Graphics 620,Windows 10,2.25,649.0,1366x768,,0.0,2.5,1000,HDD,0,NaN,Intel,Intel
HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,15.6,AMD A9-Series A9-9420 ,6,AMD Radeon 520,Windows 10,2.1,650.0,1920x1080,,0.0,3.0,128,SSD,1000,HDD,AMD,AMD
Acer,Extensa EX2540-58KR,Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10,2.4,559.0,1366x768,,0.0,2.5,500,HDD,0,NaN,Intel,Intel
Lenovo,ThinkPad 13,Notebook,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.44,960.0,1920x1080,IPSPanel,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i7 7500U ,4,Intel HD Graphics 620,Windows 10,1.85,779.0,1920x1080,,0.0,2.7,1000,HDD,0,NaN,Intel,Intel
HP,ZBook 15,Workstation,15.6,Intel Core i7 7700HQ ,16,Nvidia Quadro M2200,Windows 10,2.6,2419.0,1920x1080,,0.0,2.8,256,SSD,0,NaN,Intel,Nvidia
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.55,659.0,1920x1080,,1.0,1.6,1000,HDD,0,NaN,Intel,Intel
MSI,GS63VR 7RF,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,1.8,2094.48,1920x1080,,0.0,2.8,256,SSD,1000,HDD,Intel,Nvidia
Acer,Aspire ES1-572,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,2.4,410.8,1366x768,,0.0,2.0,500,HDD,0,NaN,Intel,Intel
Dell,Inspiron 7560,Notebook,15.6,Intel Core i7 7500U ,8,Nvidia GeForce 940MX,Windows 10,2.0,1207.0,1920x1080,,0.0,2.7,128,SSD,1000,HDD,Intel,Nvidia
Dell,Vostro 3568,Notebook,15.6,Intel Core i3 6006U ,8,Intel HD Graphics 520,Windows 10,2.0,665.0,1366x768,,0.0,2.0,256,SSD,0,NaN,Intel,Intel
Toshiba,Tecra X40-D-10G,Notebook,14.0,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.25,1535.0,1920x1080,IPSPanel,1.0,2.5,256,SSD,0,NaN,Intel,Intel
Lenovo,Flex 5,2 in 1 Convertible,14.0,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.7,999.0,1920x1080,,1.0,2.5,256,SSD,0,NaN,Intel,Intel
Lenovo,Thinkpad P51s,Workstation,15.6,Intel Core i7 7600U ,16,Nvidia Quadro M520M,Windows 10,2.5,3299.0,3840x2160,IPSPanel,0.0,2.8,1000,SSD,0,NaN,Intel,Nvidia
Acer,Chromebook 14,Notebook,14.0,Intel Celeron Dual Core N3060 ,2,Intel HD Graphics 400,Chrome OS,1.68,330.0,1366x768,,0.0,1.6,32,FlashStorage,0,NaN,Intel,Intel
Samsung,Notebook 9,Ultrabook,13.3,Intel Core i7 7500U ,16,Intel HD Graphics 620,Windows 10,0.81,1649.0,1920x1080,,0.0,2.7,256,SSD,0,NaN,Intel,Intel
HP,250 G6,Notebook,15.6,Intel Core i3 6006U ,8,Intel HD Graphics 520,Windows 10,1.86,539.0,1920x1080,,0.0,2.0,256,SSD,0,NaN,Intel,Intel
Dell,Latitude 5480,Notebook,14.0,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.6,1126.71,1366x768,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
HP,Zbook 17,Workstation,17.3,Intel Xeon E3-1535M v5 ,16,Nvidia Quadro M2000M,Windows 7,3.0,4389.0,1920x1080,IPSPanel,0.0,2.9,256,SSD,0,NaN,Intel,Nvidia
Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,Intel Celeron Dual Core N3060 ,4,Intel HD Graphics 400,Windows 10,1.4,475.0,1366x768,,1.0,1.6,128,SSD,0,NaN,Intel,Intel
HP,EliteBook 850,Notebook,15.6,Intel Core i5 6300U ,8,Intel HD Graphics 520,Windows 10,1.84,1900.0,1920x1080,,0.0,2.4,256,SSD,0,NaN,Intel,Intel
Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,Notebook,15.6,Intel Core i5 6300HQ ,4,Nvidia GeForce GTX 950M,No OS,2.45,579.0,1366x768,,0.0,2.3,1000,HDD,0,NaN,Intel,Nvidia
Lenovo,Thinkpad T460,Ultrabook,14.0,Intel Core i5 6200U ,4,Intel HD Graphics 520,Windows 10,1.7,1096.0,1920x1080,,0.0,2.3,180,SSD,0,NaN,Intel,Intel
Asus,Pro P2540UA-XO0192R,Notebook,15.6,Intel Core i7 7500U ,4,Intel HD Graphics 620,Windows 10,2.37,849.9,1366x768,,0.0,2.7,256,SSD,0,NaN,Intel,Intel
Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,Intel Core i5 6260U ,8,Intel HD Graphics 540,Windows 10,1.3,1199.0,3200x1800,IPSPanel,1.0,1.8,256,SSD,0,NaN,Intel,Intel
HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.2,1099.0,1920x1080,IPSPanel,0.0,2.5,128,SSD,1000,HDD,Intel,Nvidia
HP,ZBook 15,Workstation,15.6,Intel Core i7 6700HQ ,8,Nvidia Quadro M1000M,Windows 7,2.59,1561.0,1920x1080,,0.0,2.6,256,SSD,0,NaN,Intel,Nvidia
Dell,Alienware 17,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,4.42,2868.99,3840x2160,IPSPanel,0.0,2.8,256,SSD,1000,HDD,Intel,Nvidia
Acer,Aspire 3,Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10,2.1,599.0,1366x768,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.5,1048.0,1920x1080,IPSPanel,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
Dell,Latitude 7280,Ultrabook,12.5,Intel Core i7 7600U ,16,Intel HD Graphics 620,Windows 10,1.18,1859.0,1920x1080,,0.0,2.8,256,SSD,0,NaN,Intel,Intel
Google,Pixelbook (Core,Ultrabook,12.3,Intel Core i5 7Y57 ,8,Intel HD Graphics 615,Chrome OS,1.1,1559.0,2400x1600,,1.0,1.2,256,SSD,0,NaN,Intel,Intel
Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.2,1129.0,3200x1800,IPSPanel,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Dell,Latitude 3380,Notebook,13.3,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.65,849.0,1366x768,,0.0,2.0,500,HDD,0,NaN,Intel,Intel
Acer,TravelMate P238-M,Notebook,13.3,Intel Core i5 6200U ,4,Intel HD Graphics 520,Windows 10,1.6,655.0,1366x768,,0.0,2.3,128,SSD,0,NaN,Intel,Intel
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,Notebook,17.3,Intel Pentium Quad Core N4200 ,4,Nvidia GeForce 920MX,Windows 10,2.8,470.34,1366x768,,0.0,1.1,1000,HDD,0,NaN,Intel,Nvidia
Dell,Inspiron 7559,Gaming,15.6,Intel Core i7 6700HQ ,16,Nvidia GeForce GTX 960M,Windows 10,2.72,1099.0,3840x2160,IPSPanel,1.0,2.6,128,SSD,1000,HDD,Intel,Nvidia
Samsung,Notebook 9,Ultrabook,13.3,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.31,1599.0,1920x1080,,1.0,2.7,256,SSD,0,NaN,Intel,Intel
Acer,Aspire A315-31,Notebook,15.6,Intel Pentium Quad Core N4200 ,4,Intel HD Graphics 505,Linux,2.1,298.0,1366x768,,0.0,1.1,1000,HDD,0,NaN,Intel,Intel
Dell,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U ,16,AMD Radeon R7 M445,Windows 10,2.3,1181.27,1920x1080,,0.0,2.7,256,SSD,0,NaN,Intel,AMD
Samsung,Notebook 9,2 in 1 Convertible,15.0,Intel Core i7 7500U ,16,AMD Radeon 540,Windows 10,1.71,1799.0,1920x1080,,1.0,2.7,256,SSD,0,NaN,Intel,AMD
Toshiba,Tecra A40-C-1E5,Notebook,14.0,Intel Core i5 6200U ,4,Intel HD Graphics 520,Windows 10,1.75,1020.0,1366x768,IPSPanel,0.0,2.3,128,SSD,0,NaN,Intel,Intel
Dell,Inspiron 7567,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.62,1099.0,1920x1080,,0.0,2.8,1000,HDD,0,NaN,Intel,Nvidia
HP,EliteBook 820,Ultrabook,12.5,Intel Core i5 6200U ,4,Intel HD Graphics 520,Windows 10,1.26,1244.0,1366x768,,0.0,2.3,256,SSD,0,NaN,Intel,Intel
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,2 in 1 Convertible,15.6,Intel Core i7 7500U ,12,Nvidia GeForce 940MX,Windows 10,2.3,839.0,1920x1080,,1.0,2.7,2000,HDD,0,NaN,Intel,Nvidia
Lenovo,Thinkpad P50,Notebook,15.6,Intel Core i7 6820HQ ,16,Nvidia Quadro M2000M,Windows 7,2.5,2370.0,3840x2160,,0.0,2.7,512,SSD,0,NaN,Intel,Nvidia
Acer,Swift 3,Notebook,14.0,Intel Core i3 7100U ,4,Intel HD Graphics 620,Windows 10,1.8,636.0,1920x1080,IPSPanel,0.0,2.4,128,SSD,0,NaN,Intel,Intel
Razer,Blade Pro,Gaming,14.0,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,1.95,2899.0,1920x1080,,0.0,2.8,512,SSD,0,NaN,Intel,Nvidia
Asus,Vivobook Max,Notebook,15.6,Intel Pentium Dual Core N4200 ,8,Intel HD Graphics 505,Windows 10,2.0,581.9,1920x1080,,0.0,1.1,128,SSD,0,NaN,Intel,Intel
Dell,Alienware 17,Gaming,17.3,Intel Core i7 7700HQ ,32,Nvidia GeForce GTX 1070M,Windows 10,4.42,3588.8,1920x1080,IPSPanel,0.0,2.8,1000,SSD,1000,HDD,Intel,Nvidia
Asus,Rog G752VS-BA171T,Gaming,17.3,Intel Core i7 6700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,4.3,2350.0,1920x1080,IPSPanel,0.0,2.6,256,SSD,1000,HDD,Intel,Nvidia
Toshiba,Tecra Z40-C-161,Ultrabook,14.0,Intel Core i7 6600U ,16,Nvidia GeForce 930M,Windows 10,1.47,1764.0,1920x1080,IPSPanel,0.0,2.6,512,SSD,0,NaN,Intel,Nvidia
Lenovo,IdeaPad 110-15IBR,Notebook,15.6,Intel Celeron Quad Core N3710 ,8,Intel HD Graphics 405,No OS,2.2,329.0,1366x768,,0.0,1.6,1000,HDD,0,NaN,Intel,Intel
Lenovo,ThinkPad T470s,Ultrabook,14.0,Intel Core i7 7500U ,16,Intel HD Graphics 620,Windows 10,1.7,2299.0,1920x1080,,0.0,2.7,512,SSD,0,NaN,Intel,Intel
MSI,GS43VR 7RE,Gaming,14.0,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,1.6,1891.0,1920x1080,IPSPanel,0.0,2.8,256,SSD,1000,HDD,Intel,Nvidia
MSI,GL62M (i5-7300HQ/8GB/1TB,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.2,1089.0,1920x1080,,0.0,2.5,128,SSD,1000,HDD,Intel,Nvidia
